Asset,Type,Quantity,Price
AAPL,Market,4,Market
TSLA,Limit,1,200
META,Market,2,Market
NVDA,Limit,1,100
MSFT,Market,5,Market
AAPL,Market,4,Market
TSLA,Limit,1,200
META,Market,2,Market
NVDA,Limit,1,100
MSFT,Market,5,Market
AAPL,Market,4,Market
TSLA,Limit,1,200
META,Market,2,Market
NVDA,Limit,1,100
MSFT,Market,5,Market
AAPL,Market,4,Market
TSLA,Limit,1,200
META,Market,2,Market
NVDA,Limit,1,100
MSFT,Market,5,Market
AAPL,Market,4,Market
TSLA,Limit,1,200
META,Market,2,Market
NVDA,Limit,1,100
MSFT,Market,5,Market
AAPL,Market,4,Market
TSLA,Limit,1,200
